Time (s),Linear Acceleration x (m/s^2)
0.000000000E0,4.632164836E-1
1.013499900E-2,1.148092672E-1
2.031208300E-2,6.244119257E-3
3.002531200E-2,9.044831991E-2
4.007291600E-2,1.097369343E-1
4.991609300E-2,1.138558388E-1
5.991916600E-2,-7.893856615E-2
6.981401000E-2,9.399440885E-2
7.980213500E-2,7.444657385E-2
8.972098900E-2,8.891354501E-2
9.973635400E-2,2.622203529E-2
1.096683850E-1,9.270751476E-2
1.195867700E-1,5.234378949E-2
1.299940100E-1,5.221287161E-2
1.394709370E-1,8.499117196E-2
1.494289060E-1,1.139325276E-1
1.595716660E-1,5.718458071E-2
1.693195310E-1,1.825249940E-2
1.792781770E-1,5.121973529E-2
1.892033330E-1,3.630158305E-2
1.991107290E-1,6.781192124E-2
2.091440620E-1,3.820780292E-2
2.190766140E-1,4.769237339E-2
2.289828640E-1,5.295537412E-2
2.389264060E-1,2.971806377E-2
2.489004160E-1,5.254711211E-2
2.588200520E-1,2.270881087E-2
2.687546870E-1,1.518228501E-1
2.787409890E-1,1.313608885E-1
2.886613020E-1,1.359371245E-1
2.986102600E-1,8.322386444E-2
3.090070830E-1,8.328863233E-2
3.184990100E-1,6.427244842E-2
3.284611450E-1,7.408197224E-2
3.384423430E-1,7.845456898E-2
3.483180720E-1,1.114326790E-1
3.583270830E-1,1.015202552E-1
3.682395830E-1,4.189867526E-3
3.782281250E-1,3.303819150E-2
3.881291140E-1,4.302830994E-2
3.980947910E-1,1.143409312E-1
4.080436970E-1,6.123613194E-2
4.180495310E-1,6.068684533E-2
4.279468220E-1,8.813242614E-2
4.378643750E-1,3.001991287E-2
4.478029680E-1,4.391403496E-2
4.577647390E-1,3.447030112E-2
4.677697910E-1,1.538722962E-1
4.776058850E-1,2.904351428E-2
4.880381770E-1,9.154629707E-2
4.978797910E-1,4.760383442E-2
5.074913540E-1,7.025735080E-2
5.174611450E-1,3.166041151E-2
5.273239060E-1,3.429765999E-2
5.372896350E-1,9.900264442E-3
5.472328640E-1,-2.881325781E-2
5.572812500E-1,8.193691075E-2
5.671338540E-1,3.887064010E-2
5.771559890E-1,2.459003776E-2
5.870293750E-1,6.694027781E-2
5.969591140E-1,8.977629244E-2
6.069443230E-1,-6.367830932E-2
6.168625000E-1,1.282117963E-1
6.268046870E-1,9.065520763E-2
6.367953120E-1,1.094866842E-1
6.467497390E-1,1.148825288E-1
6.566331250E-1,7.576044649E-2
6.670366140E-1,9.030576050E-2
6.765254160E-1,1.805948466E-2
6.864835930E-1,2.659093589E-2
6.965143750E-1,5.940625817E-2
7.063759370E-1,1.132486388E-2
7.162991660E-1,1.118523329E-1
7.262517180E-1,5.908176675E-2
7.362107800E-1,8.762093633E-2
7.461516660E-1,-2.340841293E-2
7.561788530E-1,7.123847306E-2
7.660544260E-1,1.141594797E-1
7.759867180E-1,9.036021680E-2
7.859393220E-1,9.039373696E-2
7.958786970E-1,4.705931991E-2
8.058206760E-1,8.537733555E-2
8.161530200E-1,5.161919445E-2
